plane_id,flight_id,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,source_type,category
461faa,FIN9WA,Finland,2026-09-12 11:26:14+00:00,2026-09-12 11:26:27+00:00,24.7905,58.6796,10066.02,False,228.61,9.72,-0.33,10203.18,0,0
43bfdd,LEADER 8,United Kingdom,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-0.1727,51.157,,True,6.69,112.5,,,0,0
780be9,CDG1194,China,2026-09-12 11:24:14+00:00,2026-09-12 11:24:16+00:00,113.5319,23.978,8602.98,False,239.43,352.1,7.15,9204.96,0,0
8a097c,LNI012,Indonesia,,2026-09-12 11:26:06+00:00,,,,False,238.72,100.68,0.0,,0,0
3ff8c9,DMMMJ,Germany,2026-09-12 11:22:09+00:00,2026-09-12 11:22:17+00:00,8.091,53.3107,38.1,False,35.47,19.49,,,0,0
8a0987,TNU699,Indonesia,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,103.425,1.4897,11582.4,False,227.56,338.66,0.33,12367.26,0,0
780bda,CSN6037,China,2026-09-12 11:26:26+00:00,2026-09-12 11:26:26+00:00,97.9373,23.2803,10972.8,False,252.49,273.27,0.0,,0,0
3009fb,ICNTK,Italy,2026-09-12 11:24:11+00:00,2026-09-12 11:26:19+00:00,10.0619,45.2886,533.4,False,52.84,96.71,1.3,678.18,0,0
ab1971,AAL1171,United States,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-83.4116,30.9285,9570.72,False,240.49,297.94,6.18,10165.08,0,0
ab1979,DAL277,United States,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-4.2931,49.7889,10972.8,False,216.28,306.49,0.0,11536.68,0,0
8a0973,SJV768,Indonesia,2026-09-12 11:22:29+00:00,2026-09-12 11:22:29+00:00,111.0338,-6.9863,10675.62,False,234.11,91.01,0.0,11414.76,0,0
896740,ABY775,United Arab Emirates,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,14.092,50.0351,2072.64,False,130.36,168.16,17.23,2225.04,0,0
