plane_id,flight_id,origin_country,time_position,last_contact,longitude,latitude,flight_altitude_m,on_ground,velocity,true_track,vertical_rate,inside_saudi_boundary,registration,manufacturername,model,typecode,openap_typecode,aircraft_metadata_matched,weather_time,weather_location_id,weather_latitude,weather_longitude,weather_distance_km,pressure_level_hpa,flight_temperature_c,flight_wind_speed_kmh,flight_wind_direction_deg,headwind_component_ms,crosswind_component_ms,derived_airspeed_ms,fuel_flow_ready,estimated_mass_kg,fuel_flow_kg_s,co2_g_s,nox_g_s,co_g_s,hc_g_s,sox_g_s,soot_g_s
89405f,GFA173,Bahrain,2026-09-18 15:20:34+00:00,2026-09-18 15:20:35+00:00,50.8094,26.2091,2202.18,False,136.31,241.11,11.05,False,A9C-AH,Airbus,A320 214,A320,A320,True,2026-09-18 15:00:00+00:00,58,26.18629,50.82237,2.84739680681433,850,28.5,13.3,354.0,-1.4370028115306077,3.403519160037086,134.9159342452685,True,66300.0,1.6203628324837405,5120.34655064862,36.1922633256805,1.2637861171119622,0.1874255924594943,1.9444353989804886,0.048610884974512214
89405d,GFA510,Bahrain,2026-09-18 15:20:35+00:00,2026-09-18 15:20:35+00:00,51.7735,26.5569,8145.78,False,210.88,109.67,0.0,False,A9C-AF,Airbus,A320 214,A320,A320,True,2026-09-18 15:00:00+00:00,66,26.537785,51.797134,3.16929741521087,300,-30.0,11.8,246.0,-2.37091104036181,2.2633179182749172,208.52137249399038,True,66300.0,0.7788829745038081,2461.2701994320337,10.435023442600539,2.0152079254259117,0.14442727214084675,0.9346595694045696,0.02336648923511424
700024,KMF994,Afghanistan,2026-09-18 15:20:32+00:00,2026-09-18 15:20:35+00:00,51.6882,22.9377,12009.12,False,237.69,98.46,0.0,True,YA-KMU,,,A343,A343,True,2026-09-18 15:00:00+00:00,60,22.882248,51.710114,6.561794841456284,200,-52.5,34.0,148.0,6.128660806746617,7.185892260536992,243.92453014236884,True,234600.0,2.2917078176238865,7241.7967036914815,46.857808624835336,4.181347933700359,0.044138585311233,2.750049381148664,0.06875123452871659
896689,FDB4YF,United Arab Emirates,2026-09-18 15:19:42+00:00,2026-09-18 15:19:47+00:00,55.4023,25.2318,45.72,False,77.82,301.48,-3.9,False,,,,,,False,2026-09-18 15:00:00+00:00,8,25.202108,55.39957,3.3130023035025866,850,29.9,19.9,261.0,4.204608090595035,-3.5885370229379823,82.10306894617706,False,,,,,,,,
896690,ABY138,United Arab Emirates,2026-09-18 15:20:35+00:00,2026-09-18 15:20:35+00:00,55.1632,25.374,2301.24,False,141.73,244.18,3.25,False,,,,,,False,2026-09-18 15:00:00+00:00,61,25.413004,55.189598,5.083465055702833,850,29.9,19.9,261.0,5.291291418558226,1.5995506507722443,147.02999249358956,False,,,,,,,,
896698,ETD556,United Arab Emirates,2026-09-18 15:20:34+00:00,2026-09-18 15:20:34+00:00,54.525,24.4183,2125.98,False,132.53,110.69,-3.25,False,,,,,,False,2026-09-18 15:00:00+00:00,62,24.358522,54.498936,7.1519285940931265,850,29.2,24.5,255.0,-5.5273726003027726,3.970357484808546,127.06467292282107,False,,,,,,,,
896678,ETD75C,United Arab Emirates,2026-09-18 15:16:27+00:00,2026-09-18 15:19:59+00:00,54.8095,24.3257,937.26,False,77.38,307.71,-4.55,False,,,,,,False,2026-09-18 15:00:00+00:00,38,24.358522,54.78678,4.3148534098370455,850,29.3,23.5,261.0,4.476040575303388,-4.7515201235275315,81.9938310005698,False,,,,,,,,
896682,UAE4AJ,United Arab Emirates,2026-09-18 15:17:47+00:00,2026-09-18 15:17:53+00:00,48.3388,27.5466,12931.14,False,248.44,298.85,0.0,True,,,,,,False,2026-09-18 15:00:00+00:00,64,27.521967,48.27548,6.817785973722812,200,-53.0,44.3,221.0,2.5899719333566162,-12.029910345272285,251.3180565573773,False,,,,,,,,
8965d7,FDB9GN,United Arab Emirates,2026-09-18 15:20:34+00:00,2026-09-18 15:20:35+00:00,51.2957,26.8365,12031.98,False,242.07,108.59,-0.33,False,,,,,,False,2026-09-18 15:00:00+00:00,65,26.81898,51.328903,3.8275037317815297,200,-52.0,28.9,228.0,-3.9420868519934813,6.993222955170443,238.23057777608076,False,,,,,,,,
8965cd,FDB1082,United Arab Emirates,2026-09-18 15:20:35+00:00,2026-09-18 15:20:35+00:00,51.8017,26.5476,11391.9,False,244.42,109.81,0.0,False,A6-FKB,,,B38M,B38M,True,2026-09-18 15:00:00+00:00,66,26.537785,51.797134,1.1821198304975156,250,-40.5,27.2,229.0,-3.6848995853827304,6.596054487247099,240.82544821184197,True,69700.0,0.6115176044506965,1932.3956300642008,7.222356240512114,0.8080542664506514,0.05324289346796859,0.7338211253408358,0.018345528133520892
8965cc,FDB39K,United Arab Emirates,2026-09-18 15:20:35+00:00,2026-09-18 15:20:35+00:00,53.319,25.6337,9235.44,False,228.09,284.63,3.9,False,A6-FKA,,,B38M,B38M,True,2026-09-18 15:00:00+00:00,67,25.6239,53.315216,1.1538571615715145,300,-29.5,2.7,243.0,0.56058776779188,-0.49823825084202167,228.65113060711354,True,69700.0,0.8118765221542329,2565.529810007376,11.282709424003711,0.6105474200903234,0.057163538916123795,0.9742518265850795,0.024356295664626985
748028,MEA418,Lebanon,2026-09-18 15:17:41+00:00,2026-09-18 15:17:41+00:00,54.6891,24.4062,952.5,False,97.1,25.75,-2.6,False,OD-MRO,Airbus,A320 232,A320,A320,True,2026-09-18 15:00:00+00:00,68,24.358522,54.690834,5.304459564872812,850,29.3,23.5,261.0,-3.7208122002814212,-5.363528622678014,93.53309656705157,True,66300.0,0.43660335452778426,1379.6666003077983,3.313408870814406,7.149906412042234,0.8288031810268411,0.523924025433341,0.013098100635833528
8965c4,FDB1715,United Arab Emirates,2026-09-18 15:20:32+00:00,2026-09-18 15:20:35+00:00,52.8175,25.7985,10340.34,False,234.24,297.47,2.6,False,A6-FPE,,,B38M,B38M,True,2026-09-18 15:00:00+00:00,69,25.834797,52.802616,4.302239305618611,300,-29.5,4.9,256.0,1.0198840470149657,-0.9013656236148009,235.2616107693781,True,69700.0,0.737487773299816,2330.4613636274185,9.667480440210667,0.6877323260285946,0.05632787685523411,0.8849853279597791,0.02212463319899448
89409f,GFA004,Bahrain,2026-09-18 15:17:44+00:00,2026-09-18 15:17:51+00:00,50.439,26.482,1333.5,False,119.46,182.47,-5.85,False,A9C-FH,,,B789,B789,True,2026-09-18 15:00:00+00:00,70,26.537785,50.40794,6.930296795021839,850,28.5,28.6,351.0,-7.785785619488515,1.5797910679042446,111.68538802064785,True,215900.0,0.42603431971032063,1346.2684502846132,2.573636515628979,3.1038150524831227,0.009128867801420951,0.5112411836523847,0.012781029591309619
894095,GFA509,Bahrain,2026-09-18 15:20:35+00:00,2026-09-18 15:20:35+00:00,54.7733,25.1988,4655.82,False,196.25,267.15,8.13,False,A9C-TB,,A320-251N,A20N,A20N,True,2026-09-18 15:00:00+00:00,71,25.202108,54.816418,4.35374596761917,500,-4.0,23.2,69.0,-6.123796299704265,2.0074817750752327,190.13680158392168,True,67150.0,0.8315871559540011,2627.8154128146434,10.685664162710838,2.250467724110071,0.0349733567046601,0.9979045871448013,0.02494761467862003
89408b,GFA002,Bahrain,2026-09-18 15:20:30+00:00,2026-09-18 15:20:32+00:00,50.1388,26.537,3291.84,False,142.67,108.5,-0.33,False,A9C-FA,,,B789,B789,True,2026-09-18 15:00:00+00:00,72,26.467485,50.055065,11.365686988394147,700,15.5,32.9,1.0,-2.7481168899140513,-8.715913244337962,140.1930829847014,True,215900.0,1.8073268676153922,5711.152901664639,37.92046977982597,1.262454959434345,0.0,2.1687922411384704,0.05421980602846176
